pathway	feature_ids
Aminoacyl-tRNA biosynthesis	tD(GUC)G1
Aminoacyl-tRNA biosynthesis	TV(AAC)H
Aminoacyl-tRNA biosynthesis	tL(UAG)L2
Aminoacyl-tRNA biosynthesis	TK(CUU)P
Aminoacyl-tRNA biosynthesis	tL(UAG)L1
Aminoacyl-tRNA biosynthesis	TM(CAU)Q1
Aminoacyl-tRNA biosynthesis	TE(CUC)D
Aminoacyl-tRNA biosynthesis	TK(CUU)I
Aminoacyl-tRNA biosynthesis	SUP6
Aminoacyl-tRNA biosynthesis	SUP5
Aminoacyl-tRNA biosynthesis	TL(CAA)D
Aminoacyl-tRNA biosynthesis	TE(UUC)C
Aminoacyl-tRNA biosynthesis	SUP4
Aminoacyl-tRNA biosynthesis	TD(GUC)L1
Aminoacyl-tRNA biosynthesis	tG(GCC)D2
Aminoacyl-tRNA biosynthesis	SUP3
Aminoacyl-tRNA biosynthesis	TD(GUC)L2
Aminoacyl-tRNA biosynthesis	TE(UUC)B
Aminoacyl-tRNA biosynthesis	SUP2
Aminoacyl-tRNA biosynthesis	TGA1
Aminoacyl-tRNA biosynthesis	tG(GCC)D1
Aminoacyl-tRNA biosynthesis	DPS1
Aminoacyl-tRNA biosynthesis	TE(UUC)K
Aminoacyl-tRNA biosynthesis	tS(AGA)G
Aminoacyl-tRNA biosynthesis	TK(CUU)D1
Aminoacyl-tRNA biosynthesis	TE(UUC)I
Aminoacyl-tRNA biosynthesis	SUP8
Aminoacyl-tRNA biosynthesis	SUP7
Aminoacyl-tRNA biosynthesis	SUP51
Aminoacyl-tRNA biosynthesis	SUF17
Aminoacyl-tRNA biosynthesis	MES1
Aminoacyl-tRNA biosynthesis	SUF16
Aminoacyl-tRNA biosynthesis	SUP53
Aminoacyl-tRNA biosynthesis	SUP54
Aminoacyl-tRNA biosynthesis	tD(GUC)D
Aminoacyl-tRNA biosynthesis	tS(AGA)J
Aminoacyl-tRNA biosynthesis	SUP56
Aminoacyl-tRNA biosynthesis	TL(CAA)K
Aminoacyl-tRNA biosynthesis	TD(GUC)Q
Aminoacyl-tRNA biosynthesis	TL(CAA)L
Aminoacyl-tRNA biosynthesis	TL(CAA)M
Aminoacyl-tRNA biosynthesis	SUF11
Aminoacyl-tRNA biosynthesis	TL(CAA)N
Aminoacyl-tRNA biosynthesis	SUF10
Aminoacyl-tRNA biosynthesis	TD(GUC)M
Aminoacyl-tRNA biosynthesis	tD(GUC)K
Aminoacyl-tRNA biosynthesis	HER2
Aminoacyl-tRNA biosynthesis	TD(GUC)N
Aminoacyl-tRNA biosynthesis	TD(GUC)O
Aminoacyl-tRNA biosynthesis	TR(UCU)M2
Aminoacyl-tRNA biosynthesis	TI(AAU)P2
Aminoacyl-tRNA biosynthesis	DED81
Aminoacyl-tRNA biosynthesis	SLM5
Aminoacyl-tRNA biosynthesis	GUS1
Aminoacyl-tRNA biosynthesis	TS(AGA)L
Aminoacyl-tRNA biosynthesis	TS(AGA)M
Aminoacyl-tRNA biosynthesis	MSM1
Aminoacyl-tRNA biosynthesis	TL(UAA)L
Aminoacyl-tRNA biosynthesis	TS(AGA)H
Aminoacyl-tRNA biosynthesis	TS(AGA)E
Aminoacyl-tRNA biosynthesis	tA(UGC)Q
Aminoacyl-tRNA biosynthesis	TH(GUG)G1
Aminoacyl-tRNA biosynthesis	TS(AGA)B
Aminoacyl-tRNA biosynthesis	tA(UGC)O
Aminoacyl-tRNA biosynthesis	THS1
Aminoacyl-tRNA biosynthesis	tL(UAA)K
Aminoacyl-tRNA biosynthesis	tA(UGC)L
Aminoacyl-tRNA biosynthesis	TS(AGA)A
Aminoacyl-tRNA biosynthesis	tL(UAA)N
Aminoacyl-tRNA biosynthesis	tT(AGU)N2
Aminoacyl-tRNA biosynthesis	tL(UAA)Q
Aminoacyl-tRNA biosynthesis	tT(AGU)N1
Aminoacyl-tRNA biosynthesis	tA(UGC)G
Aminoacyl-tRNA biosynthesis	TR(UCU)M1
Aminoacyl-tRNA biosynthesis	tA(UGC)E
Arachidonic acid metabolism	GPX1
Arachidonic acid metabolism	GPX2
Arachidonic acid metabolism	LAP2
Arachidonic acid metabolism	HYR1
Arachidonic acid metabolism	TGL4
Arginine and proline metabolism	PRO3
Arginine and proline metabolism	PRO2
Arginine and proline metabolism	CAR2
Arginine and proline metabolism	AAT1
Arginine and proline metabolism	ALD6
Arginine and proline metabolism	CAR1
Arginine and proline metabolism	AAT2
Arginine and proline metabolism	ALD4
Arginine and proline metabolism	PUT1
Arginine and proline metabolism	FMS1
Arginine and proline metabolism	ALD5
Arginine and proline metabolism	PRO1
Arginine and proline metabolism	PUT2
Arginine and proline metabolism	AMD2
Arginine and proline metabolism	HFD1
Arginine and proline metabolism	SPE3
Arginine and proline metabolism	SPE4
Arginine and proline metabolism	SPE1
Arginine and proline metabolism	SPE2
Arginine and proline metabolism	FCY1
Arginine biosynthesis	AAT1
Arginine biosynthesis	ARG3
Arginine biosynthesis	CAR1
Arginine biosynthesis	AAT2
Arginine biosynthesis	ARG4
Arginine biosynthesis	ARG1
Arginine biosynthesis	GDH1
Arginine biosynthesis	ARG2
Arginine biosynthesis	GDH3
Arginine biosynthesis	GLN1
Arginine biosynthesis	GDH2
Arginine biosynthesis	ARG5,6
Arginine biosynthesis	DUR1,2
Arginine biosynthesis	ALT2
Arginine biosynthesis	ALT1
Arginine biosynthesis	ARG7
Arginine biosynthesis	ARG8
Autophagy	GCN4
Autophagy	ATG18
Autophagy	ATG17
Autophagy	ATG16
Autophagy	SEC18
Autophagy	SEC17
Autophagy	ATG11
Autophagy	CCZ1
Autophagy	ATG10
Autophagy	ATG15
Autophagy	ATG14
Autophagy	ATG13
Autophagy	ATG12
Autophagy	PEP3
Autophagy	SAK1
Autophagy	TIP41
Autophagy	KCS1
Autophagy	PEP5
Autophagy	RIM15
Autophagy	PEP4
Autophagy	PCL5
Autophagy	LCB2
Autophagy	LCB1
Autophagy	PPH21
Autophagy	ELM1
Autophagy	PPH22
Autophagy	SUI2
Autophagy	SLT2
Autophagy	VPS3
Autophagy	YSP3
Autophagy	VPS8
Autophagy	VAM3
Autophagy	PHO85
Autophagy	YKT6
Autophagy	VAM6
Autophagy	VAM7
Autophagy	VPS16
Autophagy	VPS15
Autophagy	TOS3
Autophagy	GCN2
Autophagy	ATG3
Autophagy	MON1
Autophagy	ATG4
Autophagy	ATG1
Autophagy	SNF1
Autophagy	ATG38
Autophagy	ATG2
Autophagy	TPK3
Autophagy	TPK2
Autophagy	TPK1
Autophagy	SCH9
Autophagy	ATG31
Autophagy	VTI1
Autophagy	MSN2
Autophagy	MSN4
Autophagy	VPS41
Autophagy	VPS45
Autophagy	TOR2
Autophagy	TOR1
Autophagy	TAP42
Autophagy	ATG29
Autophagy	ATG27
Autophagy	ATG22
Autophagy	ATG21
Autophagy	LST8
Autophagy	RAS1
Autophagy	AVT4
Autophagy	RAS2
Autophagy	ARP2
Autophagy	AVT3
Autophagy	ARP3
Autophagy	KOG1
Autophagy	UME6
Autophagy	ATG23
Autophagy	YPT7
Autophagy	VPS30
Autophagy	PRB1
Autophagy	ARG82
Autophagy	VPS34
Autophagy	VPS33
Autophagy	ATG9
Autophagy	YMR1
Autophagy	ATG7
Autophagy	ATG8
Autophagy	ATG5
Basal transcription factors	SSL1
Basal transcription factors	SSL2
Basal transcription factors	TAF13
Basal transcription factors	TFA2
Basal transcription factors	TAF14
Basal transcription factors	TAF11
Basal transcription factors	TFA1
Basal transcription factors	TAF12
Basal transcription factors	TAF10
Basal transcription factors	TOA2
Basal transcription factors	TOA1
Basal transcription factors	TAF1
Basal transcription factors	KIN28
Basal transcription factors	TAF9
Basal transcription factors	TAF8
Basal transcription factors	TAF7
Basal transcription factors	RAD3
Basal transcription factors	TAF6
Basal transcription factors	TAF5
Basal transcription factors	TAF3
Basal transcription factors	TAF2
Basal transcription factors	TFB5
Basal transcription factors	TFB4
Basal transcription factors	TFB3
Basal transcription factors	TFB2
Basal transcription factors	TFB1
Basal transcription factors	NPL3
Basal transcription factors	SPT15
Basal transcription factors	SUA7
Basal transcription factors	CCL1
Basal transcription factors	TFG2
Basal transcription factors	TFG1
Base excision repair	POL3
Base excision repair	POL2
Base excision repair	DLS1
Base excision repair	UNG1
Base excision repair	POL30
Base excision repair	OGG1
Base excision repair	POL31
Base excision repair	POL32
Base excision repair	CDC9
Base excision repair	NTG1
Base excision repair	APN2
Base excision repair	APN1
Base excision repair	NTG2
Base excision repair	RAD27
Base excision repair	DPB2
Base excision repair	DPB3
Base excision repair	DPB4
Base excision repair	MAG1
Biosynthesis of unsaturated fatty acids	PHS1
Biosynthesis of unsaturated fatty acids	POX1
Biosynthesis of unsaturated fatty acids	TSC13
Biosynthesis of unsaturated fatty acids	ELO1
Biosynthesis of unsaturated fatty acids	TES1
Biosynthesis of unsaturated fatty acids	ELO2
Biosynthesis of unsaturated fatty acids	ELO3
Biosynthesis of unsaturated fatty acids	IFA38
Biosynthesis of unsaturated fatty acids	OLE1
Biosynthesis of unsaturated fatty acids	POT1
Biotin metabolism	OAR1
Biotin metabolism	BIO4
Biotin metabolism	BIO3
Biotin metabolism	BIO2
Biotin metabolism	CEM1
Biotin metabolism	BPL1
Butanoate metabolism	ILV6
Butanoate metabolism	BDH2
Butanoate metabolism	BDH1
Butanoate metabolism	UGA2
Butanoate metabolism	UGA1
Butanoate metabolism	GAD1
Butanoate metabolism	ERG13
Butanoate metabolism	ERG10
Butanoate metabolism	ILV2
Cell cycle	MAD3
Cell cycle	MAD2
Cell cycle	MAD1
Cell cycle	IRR1
Cell cycle	GIN4
Cell cycle	RFX1
Cell cycle	BRN1
Cell cycle	ESP1
Cell cycle	CDC20
Cell cycle	LTE1
Cell cycle	CDC14
Cell cycle	CDC15
Cell cycle	CDC16
Cell cycle	DOC1
